,width,SRR999253,SRR999254,SRR999255
100484,112,41,36,32
100485,112,41,36,32
100486,112,41,36,32
100487,112,41,36,32
100488,215,98,94,103
100489,215,98,94,103
10049,21,0,0,0
100490,215,98,94,103
100491,215,98,94,103
100492,215,98,94,103
100493,206,58,49,59
100494,242,47,51,62
100495,242,47,51,62
100496,242,47,51,62
100497,68,3,3,5
100498,76,18,15,18
100499,76,18,15,18
1005,900,313,386,364
10050,1189,71,61,48
100500,76,18,15,18
100501,126,51,43,41
100502,126,51,43,41
100503,126,51,43,41
100504,126,51,43,41
100505,388,1,0,1
100506,73,0,0,0
100507,583,19,25,19
100508,324,72,51,68
100509,230,68,47,67
10051,1105,71,61,48
100510,669,662,536,582
100511,669,662,536,582
100512,1001,7,10,11
100513,163,30,14,24
100514,2318,85,54,75
100515,3027,287,280,317
100516,242,61,47,62
100517,242,61,47,62
100518,169,57,39,56
100519,169,57,39,56
10052,1493,83,70,56
100520,278,236,197,203
100521,278,236,197,203
100522,278,236,197,203
100523,278,236,197,203
100524,278,236,197,203
100525,247,201,183,197
100526,247,201,183,197
100527,247,201,183,197
100528,247,201,183,197
100529,247,201,183,197
10053,235,3,3,0
100530,142,100,74,95
100531,142,100,74,95
100532,142,100,74,95
100533,142,100,74,95
100534,311,100,74,95
100535,175,104,74,85
100536,228,152,103,115
100537,228,152,103,115
100538,449,171,123,134
100539,203,12,8,21
10054,229,3,3,0
100540,91,22,17,22
100541,91,22,17,22
100542,479,0,0,0
100543,224,21,29,21
100544,200,27,20,20
100545,158,21,17,16
100546,186,26,23,15
100547,387,31,54,49
100548,125,11,13,4
100549,369,5,2,3
10055,243,2,3,1
100550,189,24,32,28
100551,189,24,32,28
100552,133,18,17,12
100553,133,18,17,12
100554,295,36,25,42
100555,295,36,25,42
100556,268,28,25,21
100557,268,28,25,21
100558,274,34,22,27
100559,274,34,22,27
10056,243,2,3,1
100560,268,33,23,34
100561,268,33,23,34
100562,35,6,1,2
100563,287,17,20,28
100564,287,17,20,28
100565,282,100,96,90
100566,282,100,96,90
100567,282,100,96,90
100568,282,100,96,90
100569,282,100,96,90
10057,400,8,5,7
100570,266,30,25,25
100571,1933,309,351,326
100572,1071,216,252,215
100573,1071,216,252,215
100574,1071,216,252,215
100575,119,42,39,50
100576,158,49,49,55
100577,158,49,49,55
100578,158,49,49,55
100579,158,49,49,55
10058,400,8,5,7
100580,158,49,49,55
100581,113,3,1,1
100582,22,0,0,0
100583,22,1,0,0
100584,95,26,30,24
100585,95,26,30,24
100586,95,26,30,24
100587,95,26,30,24
100588,95,26,30,24
100589,179,2,8,6
10059,171,6,5,5
100590,226,25,25,22
100591,267,29,36,33
100592,267,29,36,33
100593,267,29,36,33
100594,267,29,36,33
100595,267,29,36,33
100596,331,38,46,43
100597,292,38,46,43
100598,292,38,46,43
100599,292,38,46,43
1006,900,313,386,364
10060,177,6,5,5
100600,74,17,3,11
100601,336,59,43,49
100602,336,59,43,49
100603,336,59,43,49
100604,178,34,27,23
100605,154,18,12,12
100606,154,18,12,12
100607,58,6,3,2
100608,38,0,1,0
100609,132,0,0,0
10061,163,0,2,3
100610,499,173,197,160
100611,458,173,196,160
100612,153,111,105,120
100613,153,111,105,120
100614,81,62,90,69
100615,81,62,90,69
100616,167,127,149,124
100617,167,127,149,124
100618,97,67,60,40
100619,97,67,60,40
10062,163,0,2,3
100620,28,10,16,21
100621,69,0,0,0
100622,410,0,0,0
100623,73,0,0,0
100624,1272,0,0,2
100625,1252,1,0,0
100626,1676,1,0,0
100627,234,0,0,0
100628,1512,1,1,1
100629,391,0,2,0
10063,1399,28,26,23
100630,1046,276,290,280
100631,580,264,263,268
100632,580,264,263,268
100633,580,264,263,268
100634,267,107,125,111
100635,267,107,125,111
100636,267,107,125,111
100637,267,107,125,111
100638,646,240,169,216
100639,646,240,169,216
10064,1399,28,26,23
100640,646,240,169,216
100641,646,240,169,216
100642,174,77,50,65
100643,174,77,50,65
100644,174,77,50,65
100645,174,77,50,65
100646,216,53,57,52
100647,216,53,57,52
100648,216,53,57,52
100649,216,53,57,52
10065,387,19,21,16
100650,189,56,46,57
100651,189,56,46,57
100652,189,56,46,57
100653,189,56,46,57
100654,334,112,117,106
100655,334,112,117,106
100656,334,112,117,106
100657,334,112,117,106
100658,205,68,65,47
100659,205,68,65,47
10066,468,17,16,23
100660,208,69,66,48
100661,402,100,94,73
100662,140,29,26,24
100663,140,29,26,24
100664,140,29,26,24
100665,116,1,1,2
100666,583,1,2,2
100667,116,0,0,0
100668,583,0,0,0
100669,80,0,0,0
10067,410,14,13,15
100670,80,0,0,0
100671,858,273,216,230
100672,203,268,212,223
100673,120,224,207,225
100674,120,224,207,225
100675,182,108,124,140
100676,182,108,124,140
100677,160,14,17,20
100678,183,55,45,34
100679,126,36,34,40
10068,462,17,27,20
100680,145,31,38,37
100681,158,37,37,37
100682,810,177,165,164
100683,191,75,61,61
100684,190,49,43,49
100685,634,130,114,132
100686,611,113,127,107
100687,174,43,37,48
100688,421,53,57,65
100689,279,52,57,64
10069,399,16,20,20
100690,279,52,57,64
100691,163,39,34,58
100692,163,39,34,58
100693,163,39,34,58
100694,207,86,53,70
100695,207,86,53,70
100696,207,86,53,70
100697,219,80,64,60
100698,219,80,64,60
100699,219,80,64,60
1007,900,313,386,364
10070,476,10,13,16
100700,101,27,15,17
100701,101,27,15,17
100702,101,27,15,17
100703,327,109,106,108
100704,327,109,106,108
100705,327,109,106,108
100706,156,37,36,24
100707,156,37,36,24
100708,156,37,36,24
100709,192,62,48,50
10071,86,13,3,9
100710,192,62,48,50
100711,192,62,48,50
100712,52,15,14,17
100713,52,15,14,17
100714,52,15,14,17
100715,62,16,13,10
100716,62,16,13,10
100717,62,16,13,10
100718,75,6,8,15
100719,75,6,8,15
10072,690,101,74,77
100720,75,6,8,15
100721,102,0,2,2
100722,102,0,2,2
100723,102,0,2,2
100724,74,1,0,2
100725,74,1,0,2
100726,74,1,0,2
100727,77,16,18,15
100728,77,16,18,15
100729,77,16,18,15
10073,70,0,0,0
100730,184,61,73,80
100731,291,87,99,103
100732,291,87,99,103
100733,22,2,4,2
100734,932,919,846,878
100735,320,879,804,831
100736,81,206,152,149
100737,81,206,152,149
100738,931,1,0,3
100739,1364,1,1,5
10074,24,0,0,0
100740,375,0,1,2
100741,339,58,55,39
100742,339,58,55,39
100743,339,58,55,39
100744,339,58,55,39
100745,339,58,55,39
100746,261,57,55,38
100747,168,48,47,41
100748,168,48,47,41
100749,168,48,47,41
10075,22,0,0,0
100750,168,48,47,41
100751,168,48,47,41
100752,168,48,47,41
100753,655,251,238,252
100754,655,251,238,252
100755,655,251,238,252
100756,655,251,238,252
100757,655,251,238,252
100758,655,251,238,252
100759,158,54,44,60
10076,628,114,109,86
100760,158,54,44,60
100761,158,54,44,60
100762,158,54,44,60
100763,158,54,44,60
100764,158,54,44,60
100765,236,62,49,70
100766,236,62,49,70
100767,236,62,49,70
100768,236,62,49,70
100769,236,62,49,70
10077,717,134,103,126
100770,236,62,49,70
100771,288,88,99,60
100772,288,88,99,60
100773,288,88,99,60
100774,288,88,99,60
100775,288,88,99,60
100776,288,88,99,60
100777,149,35,41,36
100778,149,35,41,36
100779,149,35,41,36
10078,169,12,9,9
100780,149,35,41,36
100781,149,35,41,36
100782,149,35,41,36
100783,494,140,101,143
100784,494,140,101,143
100785,494,140,101,143
100786,494,140,101,143
100787,494,140,101,143
100788,494,140,101,143
100789,93,35,40,39
10079,253,13,13,19
100790,93,35,40,39
100791,93,35,40,39
100792,93,35,40,39
100793,93,35,40,39
100794,93,35,40,39
100795,195,65,53,76
100796,195,65,53,76
100797,195,65,53,76
100798,195,65,53,76
100799,195,65,53,76
1008,764,256,313,274
10080,679,30,33,29
100800,195,65,53,76
100801,229,51,51,69
100802,229,51,51,69
100803,229,51,51,69
100804,229,51,51,69
100805,229,51,51,69
100806,229,51,51,69
100807,322,116,98,112
100808,322,116,98,112
100809,322,116,98,112
10081,296,0,0,0
100810,322,116,98,112
100811,322,116,98,112
100812,322,116,98,112
100813,232,96,77,89
100814,232,96,77,89
100815,232,96,77,89
100816,232,96,77,89
100817,232,96,77,89
100818,232,96,77,89
100819,675,179,176,172
10082,296,0,0,0
100820,675,179,176,172
100821,675,179,176,172
100822,675,179,176,172
100823,675,179,176,172
100824,675,179,176,172
100825,441,115,117,147
100826,441,115,117,147
100827,441,115,117,147
100828,441,115,117,147
100829,441,115,117,147
10083,145,20,16,20
100830,441,115,117,147
100831,179,81,50,61
100832,179,81,50,61
100833,179,81,50,61
100834,179,81,50,61
100835,179,81,50,61
100836,179,81,50,61
100837,165,53,47,44
100838,165,53,47,44
100839,165,53,47,44
10084,145,20,16,20
100840,165,53,47,44
100841,165,53,47,44
100842,165,53,47,44
100843,238,89,96,70
100844,238,89,96,70
100845,238,89,96,70
100846,238,89,96,70
100847,887,242,264,226
100848,887,242,264,226
100849,577,140,151,140
10085,207,26,21,24
100850,577,140,151,140
100851,577,140,151,140
100852,577,140,151,140
100853,160,38,33,52
100854,160,38,33,52
100855,160,38,33,52
100856,160,38,33,52
100857,160,38,33,52
100858,160,38,33,52
100859,116,33,33,33
10086,207,26,21,24
100860,116,33,33,33
100861,116,33,33,33
100862,116,33,33,33
100863,116,33,33,33
100864,172,41,41,48
100865,172,41,41,48
100866,172,41,41,48
100867,172,41,41,48
100868,172,41,41,48
100869,119,30,29,21
10087,438,35,31,41
100870,119,30,29,21
100871,119,30,29,21
100872,119,30,29,21
100873,119,30,29,21
100874,119,30,29,21
100875,239,37,39,35
100876,239,37,39,35
100877,239,37,39,35
100878,211,36,32,32
100879,211,36,32,32
10088,438,35,31,41
100880,204,36,29,32
100881,803,2,3,5
100882,530,0,4,0
100883,735,60,54,52
100884,1221,169,154,160
100885,774,158,141,146
100886,774,158,141,146
100887,1208,286,256,271
100888,1208,286,256,271
100889,1208,286,256,271
10089,388,48,40,43
100890,135,46,34,25
100891,243,74,58,50
100892,243,74,58,50
100893,205,3,3,2
100894,2305,256,222,224
100895,470,100,98,104
100896,150,33,30,40
100897,150,33,30,40
100898,146,24,28,39
100899,146,24,28,39
1009,764,256,313,274
10090,364,47,40,42
100900,1021,183,173,170
100901,1021,183,173,170
100902,649,119,113,101
100903,649,119,113,101
100904,415,29,24,24
100905,209,6,6,4
100906,152,0,0,0
100907,152,0,0,0
100908,129,0,0,0
100909,129,0,0,0
10091,184,41,33,34
100910,193,1,0,1
100911,122,1,0,1
100912,388,0,0,1
100913,388,0,0,1
100914,72,0,0,0
100915,72,0,0,0
100916,801,0,0,0
100917,1227,27,36,23
100918,168,26,32,22
100919,396,131,149,132
10092,184,41,33,34
100920,396,131,149,132
100921,28,12,6,8
100922,28,12,6,8
100923,229,35,33,38
100924,229,35,33,38
100925,548,0,0,0
100926,813,129,149,172
100927,590,127,142,167
100928,590,127,142,167
100929,590,127,142,167
10093,184,41,33,34
100930,471,124,134,165
100931,471,124,134,165
100932,409,116,128,159
100933,890,490,446,470
100934,890,490,446,470
100935,890,490,446,470
100936,890,490,446,470
100937,890,490,446,470
100938,890,490,446,470
100939,1078,494,456,482
10094,184,41,33,34
100940,104,3,10,8
100941,72,3,9,8
100942,68,3,9,8
100943,68,3,9,8
100944,265,17,23,30
100945,265,17,23,30
100946,265,17,23,30
100947,265,17,23,30
100948,265,17,23,30
100949,96,16,16,18
10095,184,41,33,34
100950,96,16,16,18
100951,658,61,74,66
100952,658,61,74,66
100953,1218,142,145,159
100954,1218,142,145,159
100955,120,19,25,34
100956,120,19,25,34
100957,537,57,55,44
100958,537,57,55,44
100959,2782,320,278,282
10096,62,9,14,7
100960,2782,320,278,282
100961,151,9,7,6
100962,287,32,33,29
100963,283,29,32,27
100964,1587,121,128,125
100965,1587,121,128,125
100966,296,19,15,16
100967,296,19,15,16
100968,1393,86,88,120
100969,1393,86,88,120
10097,62,9,14,7
100970,618,42,39,47
100971,618,42,39,47
100972,204,14,11,18
100973,204,14,11,18
100974,135,9,10,11
100975,135,9,10,11
100976,85,11,10,3
100977,85,11,10,3
100978,373,21,31,13
100979,373,21,31,13
10098,62,9,14,7
100980,139,8,6,7
100981,139,8,6,7
100982,91,7,10,7
100983,91,7,10,7
100984,167,8,14,15
100985,167,8,14,15
100986,198,8,17,12
100987,198,8,17,12
100988,186,11,15,16
100989,186,11,15,16
10099,62,9,14,7
100990,294,22,29,23
100991,294,22,29,23
100992,807,229,203,188
100993,434,133,131,146
100994,406,4,10,5
100995,635,152,159,135
100996,635,152,159,135
100997,531,181,158,175
100998,531,181,158,175
100999,969,258,206,268
101,166,51,53,66
1010,764,256,313,274
10100,62,9,14,7
101000,969,258,206,268
101001,128,34,24,29
101002,128,34,24,29
101003,56,2,7,9
101004,275,14,13,17
101005,42,3,3,5
101006,125,1,5,2
101007,444,21,15,18
101008,198,7,6,12
101009,318,12,14,21
10101,62,9,14,7
101010,177,1,0,7
101011,96,8,4,4
101012,114,6,3,4
101013,1971,79,68,71
101014,212,0,0,0
101015,212,0,0,0
101016,21,0,0,0
101017,21,0,0,0
101018,399,0,0,0
101019,399,0,0,0
10102,62,9,14,7
101020,34,0,0,0
101021,34,0,0,0
101022,58,0,0,0
101023,183,0,0,0
101024,22,0,0,0
101025,175,75,68,83
101026,175,75,68,83
101027,175,75,68,83
101028,218,149,150,146
101029,218,149,150,146
10103,62,9,14,7
101030,218,149,150,146
101031,113,132,135,122
101032,113,132,135,122
101033,113,132,135,122
101034,168,154,152,163
101035,168,154,152,163
101036,168,154,152,163
101037,168,154,152,163
101038,168,154,152,163
101039,168,154,152,163
10104,62,9,14,7
101040,49,38,31,31
101041,49,38,31,31
101042,49,38,31,31
101043,49,38,31,31
101044,101,43,40,32
101045,318,151,133,140
101046,68,71,58,62
101047,68,71,58,62
101048,125,74,68,74
101049,125,74,68,74
10105,142,15,17,12
101050,125,74,68,74
101051,125,74,68,74
101052,2621,535,486,497
101053,1863,534,485,496
101054,127,38,31,36
101055,127,38,31,36
101056,225,69,61,53
101057,225,69,61,53
101058,103,46,41,44
101059,103,46,41,44
10106,142,15,17,12
101060,317,59,58,62
101061,317,59,58,62
101062,904,243,200,213
101063,391,123,103,114
101064,210,102,81,92
101065,210,102,81,92
101066,575,226,185,190
101067,575,226,185,190
101068,147,48,44,47
101069,147,48,44,47
10107,142,15,17,12
101070,351,132,98,100
101071,351,132,98,100
101072,70,19,13,28
101073,70,19,13,28
101074,810,275,229,245
101075,810,275,229,245
101076,150,60,51,64
101077,150,60,51,64
101078,98,40,36,34
101079,98,40,36,34
10108,142,15,17,12
101080,604,165,129,165
101081,604,165,129,165
101082,1260,555,545,505
101083,1260,555,545,505
101084,269,137,121,121
101085,269,137,121,121
101086,153,60,63,62
101087,153,60,63,62
101088,752,267,269,284
101089,752,267,269,284
10109,142,15,17,12
101090,174,56,58,63
101091,174,56,58,63
101092,363,108,109,108
101093,363,108,109,108
101094,419,27,17,15
101095,72,30,15,21
101096,1905,228,238,250
101097,1905,228,238,250
101098,883,110,112,126
101099,883,110,112,126
1011,764,256,313,274
10110,142,15,17,12
101100,197,21,29,36
101101,197,21,29,36
101102,197,21,29,36
101103,197,21,29,36
101104,257,19,15,15
101105,257,19,15,15
101106,257,19,15,15
101107,257,19,15,15
101108,174,15,13,10
101109,174,15,13,10
10111,142,15,17,12
101110,174,15,13,10
101111,174,15,13,10
101112,134,0,0,0
101113,140,17,18,10
101114,140,17,18,10
101115,140,17,18,10
101116,217,16,17,22
101117,217,16,17,22
101118,217,16,17,22
101119,209,19,24,23
10112,142,15,17,12
101120,209,19,24,23
101121,212,19,24,23
101122,1012,82,67,114
101123,1012,82,67,114
101124,72,0,0,0
101125,1466,76,73,66
