,width,SRR999253,SRR999254,SRR999255
FBgn0000246,2629,60,50,53
FBgn0000247,7026,450,471,461
FBgn0000250,3324,1339,1015,1041
FBgn0000251,2570,0,0,0
FBgn0000253,5812,40775,36822,37784
FBgn0000256,6240,560,550,561
FBgn0000257,3205,179,174,176
FBgn0000259,5705,1254,1186,1131
FBgn0000261,1993,3321,2603,2759
FBgn0000273,5725,5231,5081,5232
FBgn0000274,1349,0,0,0
FBgn0000276,339,49,22,22
FBgn0000277,355,19,6,6
FBgn0000278,425,23,16,12
FBgn0000279,386,109,44,42
FBgn0000280,166,0,0,0
FBgn0000281,201,0,0,0
FBgn0000283,4293,709,617,624
FBgn0000286,4315,491,486,519
FBgn0000287,5536,143,160,141
FBgn0000289,5429,1374,1291,1313
FBgn0000299,6165,3404,3042,3103
FBgn0000303,4011,1801,1654,1719
FBgn0000307,7747,1015,974,974
FBgn0000308,2632,1713,1585,1706
FBgn0000316,2110,223,171,195
FBgn0000317,7404,428,425,392
FBgn0000318,716,319,241,230
FBgn0000319,6008,3884,3566,3535
FBgn0000320,3690,271,243,246
FBgn0000326,1844,115,115,107
FBgn0000330,1774,124,101,111
FBgn0000337,1790,1,1,2
FBgn0000339,1182,164,154,162
FBgn0000346,3087,2735,2712,2712
FBgn0000351,1655,1,7,5
FBgn0000352,4763,307,291,301
FBgn0000355,515,0,0,0
FBgn0000356,522,0,0,0
FBgn0000357,649,0,2,1
FBgn0000358,651,0,0,0
FBgn0000359,1116,0,0,0
FBgn0000360,1249,0,0,0
FBgn0000370,3423,6882,6045,6166
FBgn0000376,3886,97,126,111
FBgn0000377,2332,111,117,129
FBgn0000382,8732,3564,3406,3627
FBgn0000384,2764,250,213,242
FBgn0000392,4306,82,80,75
FBgn0000394,2053,338,282,263
FBgn0000395,4329,249,242,301
FBgn0000404,2919,10,11,16
FBgn0000405,3047,8,4,1
FBgn0000406,1557,2454,1906,1734
FBgn0000411,2935,113,96,121
FBgn0000412,1877,506,510,499
FBgn0000414,9270,1821,1706,1793
FBgn0000416,3527,8158,6896,7124
FBgn0000422,2797,1346,1277,1317
FBgn0000426,467,7,18,18
FBgn0000427,5748,0,0,0
FBgn0000439,2739,229,231,211
FBgn0000442,2583,84,66,60
FBgn0000447,1472,91,90,112
FBgn0000448,10465,1421,1471,1530
FBgn0000449,1975,72,68,63
FBgn0000451,3741,43,37,38
FBgn0000454,2102,566,475,465
FBgn0000455,1951,193,155,182
FBgn0000459,3247,126,108,94
FBgn0000463,5278,346,302,289
FBgn0000464,10337,2777,2835,2793
FBgn0000473,1674,1199,1026,974
FBgn0000477,1228,242,220,211
FBgn0000479,16683,2680,3055,3044
FBgn0000482,3161,151,126,113
FBgn0000489,3091,742,683,773
FBgn0000490,5214,211,202,188
FBgn0000492,2552,65,54,54
FBgn0000499,2844,208,200,177
FBgn0000500,569,146,121,113
FBgn0000504,9053,290,310,297
FBgn0000520,2002,60,58,46
FBgn0000524,3828,99,93,79
FBgn0000527,3142,620,464,452
FBgn0000529,2012,23,31,27
FBgn0000533,1527,70,68,52
FBgn0000535,10636,1290,1232,1351
FBgn0000536,4627,834,794,783
FBgn0000541,10072,2244,2112,2145
FBgn0000542,8400,333,273,301
FBgn0000543,2204,171,162,148
FBgn0000546,9934,1108,949,963
FBgn0000547,6425,2053,1942,1953
FBgn0000551,967,2,1,1
FBgn0000552,652,0,0,1
FBgn0000557,2656,3866,3772,3603
FBgn0000559,3056,14977,13184,12933
FBgn0000560,2033,6,16,7
FBgn0000562,4515,613,525,517
FBgn0000564,704,47,26,45
FBgn0000565,1354,243,223,243
FBgn0000566,1478,153,127,127
FBgn0000567,9332,1066,919,987
FBgn0000568,13451,2116,1955,2073
FBgn0000575,2049,1519,1302,1435
FBgn0000576,2478,37,30,29
FBgn0000577,2792,21,14,22
FBgn0000578,6075,606,578,620
FBgn0000579,3718,6562,6142,5811
FBgn0000581,10946,1349,1297,1324
FBgn0000588,1704,125,95,127
FBgn0000591,769,0,0,0
FBgn0000592,1837,652,764,620
FBgn0000594,1740,20,11,10
FBgn0000606,1406,0,0,0
FBgn0000611,3302,1270,1090,1209
FBgn0000615,3290,4,6,5
FBgn0000617,1124,51,45,42
FBgn0000618,503,40,30,14
FBgn0000625,3148,49,46,44
FBgn0000629,2665,168,152,153
FBgn0000633,5978,748,721,731
FBgn0000635,7306,1549,1356,1348
FBgn0000636,6612,805,772,702
FBgn0000639,3465,93,94,101
FBgn0000640,1074,59,50,69
FBgn0000644,963,4,1,2
FBgn0000658,3551,192,171,187
FBgn0000659,4289,221,228,242
FBgn0000662,2977,539,468,534
FBgn0000667,5272,2390,2488,2403
FBgn0000709,4827,343,258,276
FBgn0000711,4276,2624,2406,2640
FBgn0000715,1427,50,30,38
FBgn0000719,6564,609,606,593
FBgn0000721,6929,1138,1067,1048
FBgn0000723,5437,899,787,821
FBgn0000808,2261,1,4,1
FBgn0000810,3052,148,114,131
FBgn0000826,1114,0,0,1
FBgn0000927,2235,0,2,1
FBgn0000928,3502,6,3,6
FBgn0000964,3492,69,69,79
FBgn0000996,3138,51,41,33
FBgn0001075,16852,290,226,238
FBgn0001077,1774,0,0,0
FBgn0001078,8581,1578,1508,1536
FBgn0001079,3251,70,98,94
FBgn0001083,4698,269,256,280
FBgn0001084,1688,20,17,18
FBgn0001085,3817,244,224,203
FBgn0001086,1996,17,16,17
FBgn0001087,4404,549,635,586
FBgn0001089,2345,175,188,153
FBgn0001090,2726,3206,2970,3034
FBgn0001091,1480,4527,4079,3986
FBgn0001092,1443,4406,3949,3948
FBgn0001098,2343,3137,3027,3005
FBgn0001099,1175,43,32,41
FBgn0001104,2067,271,255,262
FBgn0001105,5605,3925,3762,3902
FBgn0001108,4550,670,606,670
FBgn0001112,2899,176,189,158
FBgn0001114,3373,2948,2285,2114
FBgn0001120,923,0,0,0
FBgn0001122,6415,4960,4840,4900
FBgn0001123,2112,798,810,769
FBgn0001124,1770,1715,1485,1398
FBgn0001125,1734,2503,1898,1887
FBgn0001128,3152,5682,5190,5295
FBgn0001133,1894,101,102,109
FBgn0001134,4071,150,166,124
FBgn0001137,1718,89,104,84
FBgn0001138,4090,110,93,81
FBgn0001139,4455,666,656,678
FBgn0001142,2396,1586,1402,1431
FBgn0001145,2231,10167,8503,8859
FBgn0001147,2237,7,5,4
FBgn0001148,1649,1,1,0
FBgn0001149,843,1022,960,999
FBgn0001150,1780,28,22,29
FBgn0001168,2335,272,217,280
FBgn0001169,6004,277,239,275
FBgn0001170,1662,3,3,4
FBgn0001174,616,1,1,1
FBgn0001179,2628,127,108,140
FBgn0001180,3835,54,41,47
FBgn0001185,2378,178,158,150
FBgn0001186,4139,4301,4033,3847
FBgn0001187,1493,451,386,397
FBgn0001189,3038,481,376,413
FBgn0001197,1224,280,240,229
FBgn0001202,2317,493,473,455
FBgn0001206,4696,79,55,53
FBgn0001208,2115,1416,1230,1221
FBgn0001215,2743,1350,1280,1377
FBgn0001216,2718,161,175,172
FBgn0001217,2174,0,1,1
FBgn0001218,3589,4774,4328,4441
FBgn0001220,2922,1594,1439,1463
FBgn0001222,2910,339,319,324
FBgn0001223,1900,26,36,21
FBgn0001224,884,116,125,115
FBgn0001225,1010,57,52,52
FBgn0001226,1632,27,18,26
FBgn0001227,1733,130,133,149
FBgn0001228,2109,26,36,21
FBgn0001229,987,62,42,58
FBgn0001230,2231,250,226,268
FBgn0001233,2960,4403,3520,3739
FBgn0001234,21710,7520,6772,5740
FBgn0001235,11839,3556,3471,3556
FBgn0001247,3439,795,726,747
FBgn0001248,2434,2643,2199,2078
FBgn0001250,6011,904,881,850
FBgn0001253,6264,72,75,58
FBgn0001254,1708,1,0,2
FBgn0001255,1094,5,10,3
FBgn0001256,1235,58,39,45
FBgn0001257,2667,362,297,306
FBgn0001258,1942,92,79,84
FBgn0001259,3062,50,53,32
FBgn0001263,2331,3197,2780,2888
FBgn0001269,5919,12,27,20
FBgn0001276,727,30,40,32
FBgn0001280,740,64,51,59
FBgn0001281,569,2,6,3
FBgn0001285,1397,2,4,2
FBgn0001291,1642,195,201,178
FBgn0001296,2678,405,374,379
FBgn0001297,7789,1470,1576,1593
FBgn0001301,5476,399,391,324
FBgn0001308,3718,964,837,818
FBgn0001311,5701,1206,972,1061
FBgn0001313,13386,0,0,0
FBgn0001316,11717,1338,1229,1223
FBgn0001319,4391,86,89,78
FBgn0001320,2215,106,93,97
FBgn0001321,2674,157,119,135
FBgn0001323,3909,188,197,190
FBgn0001324,7776,294,271,291
FBgn0001325,4411,19,28,34
FBgn0001330,3927,70,76,47
FBgn0001341,3680,70,69,85
FBgn0001404,4662,1063,1017,1031
FBgn0001491,934,116,88,96
FBgn0001565,2116,318,319,307
FBgn0001612,3571,202,180,186
FBgn0001624,11505,3534,3458,3463
FBgn0001941,2201,184,153,162
FBgn0001942,2480,5298,5001,4865
FBgn0001961,1732,341,284,274
FBgn0001965,5635,350,362,366
FBgn0001967,852,0,0,1
FBgn0001970,2160,178,169,175
FBgn0001977,2358,765,730,721
FBgn0001978,4145,237,201,236
FBgn0001981,2273,21,12,17
FBgn0001983,2222,0,1,0
FBgn0001986,3585,108,86,101
FBgn0001987,4468,376,309,308
FBgn0001989,992,413,360,325
FBgn0001990,2033,55,54,62
FBgn0001991,10481,2308,2422,2479
FBgn0001992,2787,50,37,51
FBgn0001994,4402,836,807,788
FBgn0001995,1012,72,57,73
FBgn0002021,1708,129,135,123
FBgn0002022,1698,174,161,132
FBgn0002023,4281,81,75,76
FBgn0002031,2119,231,224,215
FBgn0002036,2052,150,158,160
FBgn0002044,4249,775,690,709
FBgn0002069,2266,244,243,224
FBgn0002121,5986,633,609,626
FBgn0002174,2070,165,150,149
FBgn0002183,3690,177,153,171
FBgn0002283,1404,77,81,83
FBgn0002284,944,470,400,419
FBgn0002306,6236,749,654,633
FBgn0002354,551,60,52,54
FBgn0002413,4783,1343,1186,1335
FBgn0002431,9083,1687,1551,1567
FBgn0002440,2321,70,61,65
FBgn0002441,5398,359,339,331
FBgn0002466,6084,2,6,4
FBgn0002521,2381,580,480,470
FBgn0002522,3046,21,27,19
FBgn0002524,2991,277,253,217
FBgn0002525,3737,215,227,238
FBgn0002526,11690,909,848,793
FBgn0002531,1065,4,5,6
FBgn0002533,927,0,2,0
FBgn0002534,730,0,2,0
FBgn0002535,792,1,0,0
FBgn0002542,3543,27,28,26
FBgn0002543,6206,192,174,199
FBgn0002552,3654,102,80,91
FBgn0002561,1097,0,0,0
FBgn0002562,2625,9,15,8
FBgn0002563,2749,815,603,553
FBgn0002564,2501,53,44,66
FBgn0002565,2477,4790,5339,3901
FBgn0002566,5368,505,554,555
FBgn0002567,4081,2914,2597,2732
FBgn0002569,2036,0,0,0
FBgn0002570,1826,45,46,39
FBgn0002571,1795,0,0,1
FBgn0002573,2451,10,6,6
FBgn0002576,3468,46,49,57
FBgn0002577,3405,6,1,3
FBgn0002578,1705,0,0,0
FBgn0002579,686,2273,1999,1890
FBgn0002590,1386,1786,1425,1448
FBgn0002592,957,19,22,15
FBgn0002593,768,1977,1715,1717
FBgn0002609,1305,32,39,39
FBgn0002622,1133,1757,1613,1541
FBgn0002626,796,817,738,729
FBgn0002629,759,0,0,1
FBgn0002631,882,0,0,0
FBgn0002632,1137,0,0,2
FBgn0002633,982,8,9,9
FBgn0002638,2365,111,117,125
FBgn0002641,3209,61,58,66
FBgn0002643,8869,1789,1779,1887
FBgn0002645,6046,1032,1030,932
FBgn0002673,2379,11,6,7
FBgn0002707,3606,21,35,31
FBgn0002709,6310,27,23,17
FBgn0002715,1703,29,23,33
FBgn0002716,2300,346,361,305
FBgn0002719,3074,2755,2378,2386
FBgn0002723,5088,460,425,433
FBgn0002732,676,6,4,4
FBgn0002733,978,67,54,63
FBgn0002734,1013,1,0,0
FBgn0002735,911,0,0,1
FBgn0002736,1103,64,59,59
FBgn0002772,1414,4676,4445,4450
FBgn0002773,2286,14888,14255,14317
FBgn0002774,4641,688,660,665
FBgn0002775,1970,119,92,97
FBgn0002778,2546,200,195,201
FBgn0002780,2287,510,425,445
FBgn0002781,12432,1104,1059,1048
FBgn0002783,3983,340,357,353
FBgn0002787,1532,954,821,872
FBgn0002789,948,711,590,604
FBgn0002791,2555,100,92,93
FBgn0002838,711,0,0,0
FBgn0002842,956,0,6,4
FBgn0002855,958,0,0,0
FBgn0002856,504,0,0,0
FBgn0002862,623,0,2,0
FBgn0002863,243,2,5,9
FBgn0002865,1319,0,0,1
FBgn0002868,700,1926,1659,1779
FBgn0002869,584,2,1,3
FBgn0002872,4117,45,48,57
FBgn0002873,8895,6,6,7
FBgn0002878,4868,46,46,45
FBgn0002887,3950,82,82,79
FBgn0002891,6750,135,114,137
FBgn0002899,3364,31,29,28
FBgn0002901,2816,22,20,24
FBgn0002905,6420,43,49,48
FBgn0002906,4806,83,89,84
FBgn0002909,4022,184,189,173
FBgn0002914,2928,523,445,476
FBgn0002917,7875,1200,1122,1159
FBgn0002921,6680,46716,46630,46423
FBgn0002922,1532,6,4,11
FBgn0002924,2720,26,44,36
FBgn0002926,8230,0,0,1
FBgn0002930,1633,798,583,599
FBgn0002931,2225,99,95,95
FBgn0002932,4309,139,108,131
FBgn0002933,523,1,1,0
FBgn0002936,871,307,303,287
FBgn0002937,2164,782,705,723
FBgn0002938,5425,33906,29930,30373
FBgn0002939,1788,199,177,177
FBgn0002940,1588,52211,48430,47859
FBgn0002941,2670,23,20,17
FBgn0002945,5062,304,291,283
FBgn0002948,2449,299,251,243
FBgn0002962,2349,1,0,1
FBgn0002973,4916,717,681,619
FBgn0002985,2347,17,18,9
FBgn0002989,2878,58,61,66
FBgn0003002,2939,40,34,31
FBgn0003008,823,100,86,70
FBgn0003009,3915,0,1,0
FBgn0003011,2158,193,195,203
FBgn0003015,2869,0,0,0
FBgn0003016,6846,763,719,712
FBgn0003023,3420,3,1,1
FBgn0003028,7400,187,205,178
FBgn0003034,223,0,0,0
FBgn0003041,5781,199,185,206
FBgn0003042,2462,199,219,180
FBgn0003044,4384,282,274,274
FBgn0003046,718,5,4,3
FBgn0003048,12119,893,844,886
FBgn0003053,7446,335,324,318
FBgn0003057,1711,1,4,2
FBgn0003060,851,0,0,0
FBgn0003062,1318,44,36,56
FBgn0003065,1170,21,17,22
FBgn0003067,2486,4723,4036,3988
FBgn0003068,4527,403,415,414
FBgn0003071,4377,1643,1522,1514
FBgn0003074,2460,2602,2127,2204
FBgn0003076,1843,1338,1074,1053
FBgn0003079,4247,207,239,199
FBgn0003082,1969,177,130,155
FBgn0003086,690,6,2,0
FBgn0003087,978,2,1,4
FBgn0003089,10964,118,78,73
FBgn0003090,6748,106,116,92
FBgn0003091,5739,1797,1682,1635
FBgn0003093,5772,3239,3075,3336
FBgn0003114,616,0,1,0
FBgn0003116,1638,123,125,121
FBgn0003117,4361,18,14,15
FBgn0003118,6119,182,203,169
FBgn0003124,2980,1,0,1
FBgn0003129,2566,22,18,24
FBgn0003130,2458,7,7,4
FBgn0003132,1892,10,7,4
FBgn0003134,3210,1366,1306,1256
FBgn0003137,9544,1217,1175,1133
FBgn0003139,1675,174,193,160
FBgn0003140,1175,0,2,2
FBgn0003141,1073,1282,1007,1127
FBgn0003145,2695,0,0,1
FBgn0003149,5356,5185,5237,5018
FBgn0003159,5650,773,646,709
FBgn0003162,2152,3258,2487,2786
FBgn0003165,11798,3414,3568,3381
FBgn0003169,4013,590,547,542
FBgn0003174,5810,64,46,64
FBgn0003175,10746,840,801,783
FBgn0003187,3792,11,14,21
FBgn0003189,7126,215,142,156
FBgn0003204,2866,642,628,583
FBgn0003205,1958,595,517,553
FBgn0003206,1620,379,301,363
FBgn0003209,5011,685,605,638
FBgn0003210,4813,484,487,433
FBgn0003218,9281,3733,3664,3860
FBgn0003227,4131,359,323,377
FBgn0003231,2395,2122,1888,1846
FBgn0003248,1365,592,527,560
FBgn0003249,1391,3084,2734,2715
FBgn0003250,1349,3832,3183,3472
FBgn0003254,4665,6,7,6
FBgn0003255,5386,51,59,52
FBgn0003256,7591,771,631,649
FBgn0003257,2039,92,75,84
FBgn0003261,5386,3248,3423,3480
FBgn0003267,1241,2,0,1
FBgn0003268,6479,44,47,49
FBgn0003270,786,0,0,0
FBgn0003274,604,2030,1703,1803
FBgn0003275,541,81,56,57
FBgn0003277,6736,511,466,474
FBgn0003278,3564,63,57,58
FBgn0003279,1400,2569,2130,2216
FBgn0003285,6251,272,257,242
FBgn0003292,3268,73,63,77
FBgn0003295,1798,29,24,25
FBgn0003300,3145,22,14,17
FBgn0003301,9618,2295,2469,2360
FBgn0003302,1463,47,45,48
FBgn0003308,4337,313,308,286
FBgn0003310,5206,527,499,483
FBgn0003312,1773,11,7,12
FBgn0003313,1697,0,0,0
FBgn0003317,2865,277,241,241
FBgn0003319,4180,28,16,24
FBgn0003321,3545,583,615,568
FBgn0003326,3796,197,228,193
FBgn0003330,1542,64,53,61
FBgn0003334,4069,385,341,400
FBgn0003339,4577,190,215,210
FBgn0003345,8766,1100,1092,1121
FBgn0003346,2401,58,59,57
FBgn0003353,3278,589,569,599
FBgn0003356,862,0,0,0
FBgn0003357,1240,0,0,0
FBgn0003358,907,0,0,0
FBgn0003360,2006,22470,20233,20249
FBgn0003366,8171,439,413,375
FBgn0003371,12445,5116,4859,5180
FBgn0003372,3950,11,17,16
FBgn0003373,1109,0,0,0
FBgn0003374,952,6,2,3
FBgn0003375,636,0,0,0
FBgn0003377,321,1,0,0
FBgn0003378,359,0,0,0
FBgn0003380,22552,9183,8960,9513
FBgn0003382,6115,1,0,5
FBgn0003386,5000,873,807,822
FBgn0003388,3016,9,7,7
FBgn0003390,1796,84,69,66
FBgn0003391,6400,669,610,601
FBgn0003392,5989,7885,7615,7472
FBgn0003396,10997,1182,1033,972
FBgn0003401,1694,5,6,3
FBgn0003410,3257,387,372,381
FBgn0003411,779,0,0,0
FBgn0003415,12307,1743,1713,1698
FBgn0003416,5678,161,145,137
FBgn0003423,4305,3084,2833,2842
FBgn0003429,10153,4454,4714,4863
FBgn0003430,1425,52,45,44
FBgn0003435,16635,6390,6283,6505
FBgn0003444,4008,146,147,161
FBgn0003447,3507,1081,939,883
FBgn0003448,1668,0,0,0
FBgn0003449,835,132,139,134
FBgn0003450,1435,0,0,0
FBgn0003459,4334,63,67,64
FBgn0003460,2786,150,138,126
FBgn0003462,735,1688,1495,1431
FBgn0003463,6442,840,885,859
FBgn0003464,5724,674,585,661
FBgn0003475,6505,1777,1638,1614
FBgn0003479,1342,43,27,44
FBgn0003480,1384,16,20,17
FBgn0003482,1026,0,0,0
FBgn0003483,4678,15,11,17
FBgn0003486,2489,7,8,8
FBgn0003495,2364,181,196,172
FBgn0003499,8113,228,229,230
FBgn0003502,9022,541,502,528
FBgn0003507,5831,306,257,236
FBgn0003510,3300,54,43,44
FBgn0003511,3300,54,43,44
FBgn0003512,1546,59,58,61
FBgn0003513,5191,34,26,17
FBgn0003514,1578,499,475,473
FBgn0003515,2146,99,97,77
FBgn0003517,1338,1766,1533,1563
FBgn0003520,5369,2659,2405,2389
FBgn0003525,3064,12,18,15
FBgn0003527,1171,0,0,0
FBgn0003545,2460,3,3,7
FBgn0003557,4798,1008,858,845
FBgn0003559,3014,209,202,164
FBgn0003567,3682,212,198,212
FBgn0003575,5047,374,390,347
FBgn0003598,5051,230,197,206
FBgn0003607,1109,232,216,227
FBgn0003612,5039,342,355,340
FBgn0003638,5658,1263,1350,1448
FBgn0003651,5595,292,295,274
FBgn0003654,3304,291,281,301
FBgn0003655,2022,1,1,2
FBgn0003656,5963,1497,1325,1358
FBgn0003660,1237,1089,796,996
FBgn0003676,1980,163,125,138
FBgn0003683,1469,0,0,0
FBgn0003687,1387,45,44,31
FBgn0003701,4578,3,6,9
FBgn0003710,4084,704,669,672
FBgn0003714,1596,90,90,86
FBgn0003716,4433,471,485,494
FBgn0003719,3359,38,22,27
FBgn0003720,1965,0,0,0
FBgn0003721,9804,3812,3404,3589
FBgn0003731,6947,703,516,589
FBgn0003733,3131,2,1,1
FBgn0003741,862,63,46,56
FBgn0003742,1844,84,78,79
FBgn0003744,2816,822,756,725
FBgn0003747,1490,7,3,3
FBgn0003748,4369,1745,1753,1727
FBgn0003751,882,3,7,9
FBgn0003861,4149,19835,18016,17972
FBgn0003862,14052,2278,2181,2069
FBgn0003863,860,0,0,0
FBgn0003865,887,0,0,0
FBgn0003866,4732,100,99,89
FBgn0003867,2059,231,206,234
FBgn0003870,7557,871,839,895
FBgn0003882,2006,217,247,206
FBgn0003884,1752,4743,4576,4361
FBgn0003885,1980,540,577,497
FBgn0003886,1560,5,7,2
FBgn0003888,2518,56,83,79
FBgn0003889,1841,7,7,8
FBgn0003890,1869,529,455,483
FBgn0003891,8830,4467,4037,4102
FBgn0003892,5521,53,62,64
FBgn0003896,3314,165,138,138
FBgn0003900,2388,2,4,2
FBgn0003916,164,0,0,0
FBgn0003920,192,0,0,0
FBgn0003922,192,0,0,0
FBgn0003923,191,0,1,0
FBgn0003926,211,0,0,0
FBgn0003930,143,25,21,31
FBgn0003931,142,2,0,2
FBgn0003933,110,0,0,0
FBgn0003934,131,0,0,0
FBgn0003935,127,0,0,0
FBgn0003936,126,0,0,0
FBgn0003938,123,2,0,1
FBgn0003941,659,1621,1433,1455
FBgn0003942,592,2687,2278,2268
FBgn0003943,3138,1636,1545,1488
FBgn0003944,4282,3,3,6
FBgn0003950,4775,2,11,6
FBgn0003961,1262,0,0,0
FBgn0003963,6706,121,144,116
FBgn0003964,3038,381,345,321
FBgn0003965,1305,120,85,81
FBgn0003969,4457,471,433,417
FBgn0003975,3463,35,38,35
FBgn0003977,5867,168,131,143
FBgn0003978,1310,17,20,26
FBgn0003979,745,0,0,0
FBgn0003980,636,0,0,0
FBgn0003983,491,0,0,2
FBgn0003984,5239,238,214,244
FBgn0003996,2352,234,251,230
FBgn0003997,4018,612,541,573
FBgn0004003,1319,32,31,30
FBgn0004034,2038,3,0,1
FBgn0004045,1611,23,31,15
FBgn0004047,1868,139,136,120
FBgn0004049,4464,468,418,424
FBgn0004050,2599,179,146,147
FBgn0004052,453,0,0,0
FBgn0004053,1267,0,0,0
FBgn0004054,1002,0,0,0
FBgn0004055,4114,1338,1250,1209
FBgn0004057,2512,373,315,317
FBgn0004066,1176,577,469,491
FBgn0004087,662,26,26,27
FBgn0004101,4791,122,84,99
FBgn0004102,5041,539,527,493
FBgn0004103,2203,1631,1458,1517
FBgn0004106,1082,2,2,0
FBgn0004107,2299,47,32,31
FBgn0004108,4281,391,382,347
FBgn0004110,1664,0,0,0
FBgn0004117,2613,2993,2960,2966
FBgn0004118,4018,413,435,407
FBgn0004132,704,86,65,62
FBgn0004133,2848,209,152,171
FBgn0004143,846,3,2,2
FBgn0004167,14454,2725,2594,2446
FBgn0004168,5019,526,525,504
FBgn0004169,2530,6916,6550,6914
FBgn0004170,1438,0,0,0
FBgn0004171,1066,0,0,0
FBgn0004172,358,0,0,0
FBgn0004173,415,0,0,0
FBgn0004174,363,0,0,0
FBgn0004175,415,0,0,0
FBgn0004177,3102,2311,2113,2108
FBgn0004179,3081,2584,2390,2578
FBgn0004181,1529,0,0,0
FBgn0004183,164,0,0,0
FBgn0004185,164,0,0,0
FBgn0004186,164,13,26,20
FBgn0004187,164,6,1,11
FBgn0004188,107,0,0,0
FBgn0004189,107,0,0,0
FBgn0004190,107,0,1,0
FBgn0004191,192,0,0,0
FBgn0004192,192,4,4,4
FBgn0004197,5831,49,40,34
FBgn0004198,12443,2458,2452,2416
FBgn0004227,8029,1341,1369,1409
FBgn0004228,1219,0,0,0
FBgn0004237,2759,669,660,669
FBgn0004240,496,626,237,342
FBgn0004242,7190,12761,12305,12714
FBgn0004244,8994,6470,6628,6967
FBgn0004359,2449,111,95,105
FBgn0004360,2240,0,2,7
FBgn0004362,1965,249,210,212
FBgn0004363,2858,5076,4701,4618
FBgn0004364,5422,736,688,692
FBgn0004367,7899,56,60,49
FBgn0004368,7229,590,563,549
FBgn0004369,9139,2026,2038,1967
FBgn0004370,8708,1266,1180,1198
FBgn0004372,2267,0,0,0
FBgn0004373,7436,1605,1395,1447
FBgn0004374,3592,21,12,13
FBgn0004378,3871,2,3,4
FBgn0004379,3086,2,1,3
FBgn0004380,2529,439,377,375
FBgn0004381,2998,440,410,401
FBgn0004387,5530,774,707,712
FBgn0004389,1028,0,0,0
FBgn0004390,5434,388,331,363
FBgn0004391,6481,91,78,83
FBgn0004394,4624,21,27,24
FBgn0004395,6328,866,782,823
FBgn0004396,4498,323,246,256
FBgn0004397,3933,1388,1241,1367
FBgn0004400,1570,17,18,9
FBgn0004401,2792,1207,1078,1117
FBgn0004403,877,1035,851,863
FBgn0004404,597,475,354,469
FBgn0004406,3679,13,28,31
FBgn0004407,1570,169,119,159
FBgn0004414,648,0,0,0
FBgn0004419,1845,582,562,520
FBgn0004425,611,0,1,0
FBgn0004426,242,0,0,0
FBgn0004427,480,1,0,0
FBgn0004428,580,2,0,0
